"","copy_col","reviewer","title","flat_title","first_release_year","all_release_year","platform","flat_platform","uv_index","uv_title","uv_raw_title","uv_first_release_year","uv_publisher","uv_developer","uv_platform","gb_index","gb_title","gb_raw_title","gb_first_release_year","gb_platform","is_duplicate","is_sampled","target_platform"
"998","Orb 3D----1990----NES","Kameron","Orb 3D","orb 3d",1990,"1990","NES","nes",43952,"Orb 3D","Orb 3D",1990,"Hi-Tech Expressions","Subway Software----The Software Toolworks","NES",NA,NA,NA,NA,NA,FALSE,TRUE,"NES"
"999","Liquid Kids----1990----TG16","Kate","Liquid Kids","liquid kids",1990,"1990----1992","AMI----ARC----Arcade----SAT----SNES----TG16","ami----arc----arcade----sat----snes----tg16",35283,"Liquid Kids","Liquid Kids",1990,"Taito",NA,"Arcade----SNES",22540,"Liquid Kids","Liquid Kids",NA,"AMI----ARC----SAT----TG16",FALSE,TRUE,"TG16"
"1000","Dizzy 3 and a Half----1990----ZX Spectrum","Sam","Dizzy 3 and a Half","dizzy 3 and a half",1990,"1990","ZX Spectrum","zx spectrum",17731,"Dizzy 3 and a Half","Dizzy 3 and a Half (Dizzy Three and a Half)",1990,"Codemasters",NA,"ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"1001","Snoopy's Silly Sports Spectacular----1990----NES","Brian","Snoopy's Silly Sports Spectacular","snoopy's silly sports spectacular",1990,"1990","NES","nes",NA,NA,NA,NA,NA,NA,NA,35444,"Snoopy's Silly Sports Spectacular","Snoopy's Silly Sports Spectacular",1990,"NES",FALSE,TRUE,"NES"
"1002","Poseidon: Planet Eleven----1990----ZX Spectrum","Kameron","Poseidon: Planet Eleven","poseidon: planet 11",1990,"1990","C64----ZX Spectrum","c64----zx spectrum",47119,"Poseidon: Planet Eleven","Poseidon: Planet Eleven",1990,"Hi-Tec Software","Digital Design----PAL Developments","C64----ZX Spectrum",30034,"Poseidon: Planet Eleven","Poseidon: Planet Eleven",1990,"C64",FALSE,TRUE,"ZX Spectrum"
"1003","Quandam----1990----Amstrad CPC","Kate","Quandam","quandam",1990,"1990","Amstrad CPC","amstrad cpc",48637,"Quandam","Quandam",1990,NA,NA,"Amstrad CPC",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"1004","Simon----1991----C128","Sam","Simon","simon",1991,"1991----2015","Archimedes----Atom----C128----HP-41----Linux/Unix----PC","archimedes----atom----c128----hp-41----linux/unix----pc",54316,"Simon","Simon",2015,"author----Hewlett-Packard----xojoc","xojoc","Archimedes----Atom----C128----HP-41----Linux/Unix",34846,"Simon","Simon",1991,"PC",FALSE,TRUE,"C128"
"1005","The Treehouse----1991----PC","Brian","The Treehouse","the treehouse",1991,"1991----1993","Mac----MS-DOS----PC","mac----ms-dos----pc",63718,"The Treehouse","The Treehouse",1991,"Brøderbund","Brøderbund","Mac----MS-DOS",41155,"The Treehouse","The Treehouse",1991,"PC",FALSE,TRUE,"PC"
"1006","2 Hot 2 Handle----1991----SPEC","Kameron","2 Hot 2 Handle","2 hot 2 handle",1991,"1991","Amiga----SPEC","amiga----spec",665,"2 Hot 2 Handle","2 Hot 2 Handle",1991,"Addicted To Fun",NA,"Amiga",485,"2 Hot 2 Handle","2 Hot 2 Handle",1991,"SPEC",FALSE,TRUE,"SPEC"
"1007","Ancient Games----1991----Amiga","Kate","Ancient Games","ancient games",1991,"1991","Amiga----Atari ST","amiga----atari st",3709,"Ancient Games","Ancient Games",1991,"Energize","Golden Sector----Golden Sector Design","Amiga----Atari ST",NA,NA,NA,NA,NA,FALSE,TRUE,"Amiga"
"1008","Power League IV----1991----PCE / TurboGrafx","Sam","Power League IV","power league 4",1991,"1991","PCE / TurboGrafx","pce / turbografx",47224,"Power League IV","Power League IV (Power League 4)",1991,"Hudson","Hudson Soft","PCE / TurboGrafx",NA,NA,NA,NA,NA,FALSE,TRUE,"PCE / TurboGrafx"
"1009","Mandelbrot Memory----1991----MS-DOS","Brian","Mandelbrot Memory","mandelbrot memory",1991,"1991","MS-DOS","ms-dos",37163,"Mandelbrot Memory","Mandelbrot Memory",1991,"author",NA,"MS-DOS",NA,NA,NA,NA,NA,FALSE,TRUE,"MS-DOS"
"1010","Tennis Coach----1991----MS-DOS","Kameron","Tennis Coach","tennis coach",1991,"1991","MS-DOS","ms-dos",60844,"Tennis Coach","Tennis Coach (Tennis Coach Pro;TennisCoach Easy)",1991,"SuntaxGames",NA,"MS-DOS",NA,NA,NA,NA,NA,FALSE,TRUE,"MS-DOS"
"1011","All My Hummingbirds Have Alibis----1991----Mac","Kate","All My Hummingbirds Have Alibis","all my hummingbirds have alibis",1991,"1991","Mac","mac",3212,"All My Hummingbirds Have Alibis","All My Hummingbirds Have Alibis",1991,"The Voyager Company",NA,"Mac",NA,NA,NA,NA,NA,FALSE,TRUE,"Mac"
"1012","Dino Land----1991----GEN","Sam","Dino Land","dino land",1991,"1991","GEN----Mega Drive / Genesis","gen----mega drive / genesis",17413,"Dino Land","Dino Land (Dinoland;<U+8D85><U+95D8><U+7ADC><U+70C8><U+4F1D><U+30C7><U+30A3><U+30CE><U+30E9><U+30F3><U+30C9>)",1991,"Wolf Team","Wolf Team","Mega Drive / Genesis",10897,"Dino Land","Dino Land",1991,"GEN",FALSE,TRUE,"GEN"
"1013","RECYCLE----1991----Mac","Brian","RECYCLE","recycle",1991,"1991----2014","Mac----PC","mac----pc",49824,"Recycle","Recycle",1991,"author","author","Mac",31752,"RECYCLE","RECYCLE",2014,"PC",FALSE,TRUE,"Mac"
"1014","Nova 9: Return of Gir Draxon----1991----PC","Kameron","Nova 9: Return of Gir Draxon","nova 9: return of gir draxon",1991,"1991","AMI----PC","ami----pc",NA,NA,NA,NA,NA,NA,NA,27649,"Nova 9: Return of Gir Draxon","Nova 9: Return of Gir Draxon",1991,"AMI----PC",FALSE,TRUE,"PC"
"1015","Scooby-Doo and Scrappy Doo----1991----AST","Kate","Scooby-Doo and Scrappy Doo","scooby-doo and scrappy doo",1991,"1991","AMI----AST----C64----CPC----SPEC","ami----ast----c64----cpc----spec",NA,NA,NA,NA,NA,NA,NA,33578,"Scooby-Doo and Scrappy Doo","Scooby-Doo and Scrappy Doo",1991,"AMI----AST----C64----CPC----SPEC",FALSE,TRUE,"AST"
"1016","Shogi Shoshinsha Muyo----1991----PCE / TurboGrafx","Sam","Shogi Shoshinsha Muyo","shogi shoshinsha muyo",1991,"1991","PCE / TurboGrafx","pce / turbografx",53926,"Shogi Shoshinsha Muyo","Shogi Shoshinsha Muyo",1991,"Home Data",NA,"PCE / TurboGrafx",NA,NA,NA,NA,NA,FALSE,TRUE,"PCE / TurboGrafx"
"1017","True Golf Classics: Waialae Country Club----1991----SNES","Brian","True Golf Classics: Waialae Country Club","true golf classics: waialae country club",1991,"1991","SNES","snes",NA,NA,NA,NA,NA,NA,NA,42731,"True Golf Classics: Waialae Country Club","True Golf Classics: Waialae Country Club",1991,"SNES",FALSE,TRUE,"SNES"
"1018","Euro Boss----1991----Amstrad CPC","Kameron","Euro Boss","euro boss",1991,"1991","Amstrad CPC----ZX Spectrum","amstrad cpc----zx spectrum",20867,"Euro Boss","Euro Boss",1991,"Challenge----Challenge Software",NA,"Amstrad CPC----ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"1019","Hoyle Book of Games, Volume 2----1991----Mac","Kate","Hoyle Book of Games, Volume 2","hoyle book of games, volume 2",1991,"1991","Mac","mac",29214,"Hoyle Book of Games, Volume 2","Hoyle Book of Games, Volume 2 (Hoyle Official Book of Games, Volume 2)",1991,"Sierra On-Line","Sierra On-Line","Mac",NA,NA,NA,NA,NA,FALSE,TRUE,"Mac"
"1020","Cadaver: The Payoff----1991----PC","Sam","Cadaver: The Payoff","cadaver: the payoff",1991,"1991","AMI----Amiga----AST----Atari ST----PC","ami----amiga----ast----atari st----pc",10523,"Cadaver: The Payoff","Cadaver: The Payoff",1991,"Image Works","The Bitmap Brothers","Amiga----Atari ST",6586,"Cadaver: The Payoff","Cadaver: The Payoff",1991,"AMI----AST----PC",FALSE,TRUE,"PC"
"1021","Paddle Fighter----1991----Mega Drive / Genesis","Brian","Paddle Fighter","paddle fighter",1991,"1991","Mega Drive / Genesis","mega drive / genesis",44642,"Paddle Fighter","Paddle Fighter",1991,"Sega",NA,"Mega Drive / Genesis",NA,NA,NA,NA,NA,FALSE,TRUE,"Mega Drive / Genesis"
"1022","Battle Isle----1991----AST","Kameron","Battle Isle","battle isle",1991,"1991----1992","AMI----Amiga----AST----MS-DOS----PC","ami----amiga----ast----ms-dos----pc",6831,"Battle Isle","Battle Isle",1991,"Blue Byte","Blue Byte","Amiga----MS-DOS",4294,"Battle Isle","Battle Isle",1991,"AMI----AST----PC",FALSE,TRUE,"AST"
"1023","Xiphoids----1991----C64","Kate","Xiphoids","xiphoids",1991,"1991","C64","c64",70271,"Xiphoids","Xiphoids",1991,"Dynafield Systems",NA,"C64",NA,NA,NA,NA,NA,FALSE,TRUE,"C64"
"1024","Cosmic Spacehead----1991----Amiga","Sam","Cosmic Spacehead","cosmic spacehead",1991,"1991----1993----1994","AMI----Amiga----Game Gear----GEN----GG----Mega Drive / Genesis----MS-DOS----NES----PC----SMS","ami----amiga----game gear----gen----gg----mega drive / genesis----ms-dos----nes----pc----sms",13918,"Cosmic Spacehead","Cosmic Spacehead----Cosmic SpaceHead",1991,"Codemasters","Codemasters----Supersonic","Amiga----Game Gear----Mega Drive / Genesis----MS-DOS----SMS",8655,"Cosmic Spacehead","Cosmic Spacehead",1993,"AMI----GEN----GG----NES----PC----SMS",FALSE,TRUE,"Amiga"
"1025","Quiz Avenue----1991----PCE CD/TG-CD","Brian","Quiz Avenue","quiz avenue",1991,"1991","PCE CD/TG-CD","pce cd/tg-cd",48852,"Quiz Avenue","Quiz Avenue",1991,"NEC Avenue","NEC Avenue","PCE CD/TG-CD",NA,NA,NA,NA,NA,FALSE,TRUE,"PCE CD/TG-CD"
"1026","S.C.I.: Special Criminal Investigation----1991----SMS","Kameron","S.C.I.: Special Criminal Investigation","s.c.1.: special criminal investigation",1991,"1991----1992","PCE / TurboGrafx----SMS","pce / turbografx----sms",51691,"S.C.I.: Special Criminal Investigation","S.C.I. - Special Criminal Investigation (SCI)----S.C.I.: Special Criminal Investigation (Chase H.Q. II)",1991,"Taito",NA,"PCE / TurboGrafx----SMS",NA,NA,NA,NA,NA,FALSE,TRUE,"SMS"
"1027","Pyramids of Ra----1991----NES","Kate","Pyramids of Ra","pyramids of ra",1991,"1991----1993","Game Boy----GB----NES","game boy----gb----nes",48481,"Pyramids of Ra","Pyramids of Ra----Pyramids of Ra (Scarabeus)",1991,"Matchbox","Matchbox----Source Research and Development","Game Boy----NES",30905,"Pyramids of Ra","Pyramids of Ra",1993,"GB",FALSE,TRUE,"NES"
"1028","Guldkorn Expressen----1991----AMI","Sam","Guldkorn Expressen","guldkorn expressen",1991,"1991","AMI----C64----PC","ami----c64----pc",NA,NA,NA,NA,NA,NA,NA,17265,"Guldkorn Expressen","Guldkorn Expressen",1991,"AMI----C64----PC",FALSE,TRUE,"AMI"
"1029","Dodge Boy----1991----GB","Brian","Dodge Boy","dodge boy",1991,"1991","Game Boy----GB","game boy----gb",17814,"Dodge Boy","Dodge Boy",1991,"Tonkin House",NA,"Game Boy",11305,"Dodge Boy","Dodge Boy",NA,"GB",FALSE,TRUE,"GB"
"1030","Fidelity Ultimate Chess Challenge----1991----Lynx","Kameron","Fidelity Ultimate Chess Challenge","fidelity ultimate chess challenge",1991,"1991","Lynx","lynx",22159,"Fidelity Ultimate Chess Challenge","Fidelity Ultimate Chess Challenge",1991,"Telegames",NA,"Lynx",NA,NA,NA,NA,NA,FALSE,TRUE,"Lynx"
"1031","Home Adventure----1991----BK11M","Kate","Home Adventure","home adventure",1991,"1991","BK11M","bk11m",28807,"Home Adventure","Home Adventure",1991,"PG Corp",NA,"BK11M",NA,NA,NA,NA,NA,FALSE,TRUE,"BK11M"
"1032","Momotaro Densetsu Gaiden----1991----Game Boy","Sam","Momotaro Densetsu Gaiden","momotaro densetsu gaiden",1991,"1991","Game Boy","game boy",39928,"Momotaro Densetsu Gaiden","Momotaro Densetsu Gaiden",1991,"Hudson Soft","Summer Project","Game Boy",NA,NA,NA,NA,NA,FALSE,TRUE,"Game Boy"
"1033","Mad Dog II: The Lost Gold----1991----CD-i","Brian","Mad Dog II: The Lost Gold","mad dog 2: the lost gold",1991,"1991----1992----1993----1994","3DO----ARC----Arcade----CD-i----CDI----MS-DOS----PC----PS3N----SCD----Sega-CD / Mega-CD","3do----arc----arcade----cd-i----cdi----ms-dos----pc----ps3n----scd----sega-cd / mega-cd",36292,"Mad Dog II: The Lost Gold","Mad Dog II: The Lost Gold----Mad Dog II: The Lost Gold (Mad Dog 2: Le Trésor Perdu)----Mad Dog II: The Lost Gold (Mad Dog McCree 2)----Mad Dog II: The Lost Gold (Mad Dog McCree II)",1992,"American Laser----American Laser Games----Philips","American Laser----American Laser Games","3DO----Arcade----CD-i----MS-DOS----Sega-CD / Mega-CD",23149,"Mad Dog II: The Lost Gold","Mad Dog II: The Lost Gold",1991,"3DO----ARC----CDI----PC----PS3N----SCD",FALSE,TRUE,"CD-i"
"1034","Hagar the Horrible----1991----C64","Kameron","Hagar the Horrible","hagar the horrible",1991,"1991----1992","Amiga----Amstrad CPC----C64","amiga----amstrad cpc----c64",27157,"Hagar the Horrible","Hagar the Horrible----Hagar The Horrible",1991,"Kingsoft----The Electric Monk",NA,"Amiga----Amstrad CPC----C64",NA,NA,NA,NA,NA,FALSE,TRUE,"C64"
"1035","Emlith----1991----Win3.1","Kate","Emlith","emlith",1991,"1991","PC----Win3.1","pc----win3.1",20295,"Emlith","Emlith",1991,"author",NA,"Win3.1",13003,"Emlith","Emlith",NA,"PC",FALSE,TRUE,"Win3.1"
"1036","Lethal Xcess: Wings Of Death II----1991----Amiga","Sam","Lethal Xcess: Wings Of Death II","lethal xcess: wings of death 2",1991,"1991","Amiga","amiga",34971,"Lethal Xcess: Wings Of Death II","Lethal Xcess: Wings Of Death II",1991,"Eclipse","Eclipse","Amiga",NA,NA,NA,NA,NA,FALSE,TRUE,"Amiga"
"1037","Cover Girl Strip Poker----1991----AMI","Brian","Cover Girl Strip Poker","cover girl strip poker",1991,"1991","AMI----C64----PC","ami----c64----pc",14039,"Cover Girl Strip Poker","Cover Girl Strip Poker",1991,"Emotional Pictures",NA,"C64",8721,"Cover Girl Strip Poker","Cover Girl Strip Poker",NA,"AMI----C64----PC",FALSE,TRUE,"AMI"
"1038","Fuse----1991----PS3N","Kameron","Fuse","fuse",1991,"1991----2013","PS3----PS3N----Win3.1----X360","ps3----ps3n----win3.1----x360",24056,"Fuse","Fuse",1991,"author",NA,"Win3.1",15524,"Fuse","Fuse",2013,"PS3----PS3N----X360",FALSE,TRUE,"PS3N"
"1039","21-en----1991----PC","Kate","21-en","21-en",1991,"1991","PC","pc",NA,NA,NA,NA,NA,NA,NA,523,"21-en","21-en",1991,"PC",FALSE,TRUE,"PC"
"1040","Simply Magic----1991----Amstrad CPC","Sam","Simply Magic","simply magic",1991,"1991","Amstrad CPC","amstrad cpc",54526,"Simply Magic","Simply Magic",1991,"Wow Software",NA,"Amstrad CPC",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"1041","Glücksrad: First Edition----1991----Amiga","Brian","Glücksrad: First Edition","glücksrad: first edition",1991,"1991","Amiga","amiga",25577,"Glücksrad: First Edition","Glücksrad: First Edition",1991,"Gametek",NA,"Amiga",NA,NA,NA,NA,NA,FALSE,TRUE,"Amiga"
"1042","Bonk!----1991----Mac","Kameron","Bonk!","bonk!",1991,"1991","Mac","mac",9153,"Bonk!","Bonk!",1991,"author","author","Mac",NA,NA,NA,NA,NA,FALSE,TRUE,"Mac"
"1043","Clutch Hitter----1991----GG","Kate","Clutch Hitter","clutch hitter",1991,"1991","ARC----Arcade----Game Gear----GG","arc----arcade----game gear----gg",12988,"Clutch Hitter","Clutch Hitter",1991,"Sega",NA,"Arcade----Game Gear",8031,"Clutch Hitter","Clutch Hitter",1991,"ARC----GG",FALSE,TRUE,"GG"
"1044","Big Karnak----1991----Arcade","Sam","Big Karnak","big karnak",1991,"1991","Arcade","arcade",7740,"Big Karnak","Big Karnak",1991,"Gaelco",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"1045","Galactic Frontiers----1991----Mac","Brian","Galactic Frontiers","galactic frontiers",1991,"1991","Mac","mac",24333,"Galactic Frontiers","Galactic Frontiers",1991,"Soft Stream International","Human Media","Mac",NA,NA,NA,NA,NA,FALSE,TRUE,"Mac"
"1046","SD Gundam: Gachapon Senshi 4: NewType Story----1991----NES","Kameron","SD Gundam: Gachapon Senshi 4: NewType Story","sd gundam: gachapon senshi 4: newtype story",1991,"1991","NES","nes",52652,"SD Gundam: Gachapon Senshi 4: NewType Story","SD Gundam: Gachapon Senshi 4: NewType Story (SD<U+30AC><U+30F3><U+30C0><U+30E0> <U+30AC><U+30C1><U+30E3><U+30DD><U+30F3><U+6226><U+58EB>4 <U+30CB><U+30E5><U+30FC><U+30BF><U+30A4><U+30D7><U+30B9><U+30C8><U+30FC><U+30EA><U+30FC>;SD<U+92FC><U+5F48><U+626D><U+86CB><U+6230><U+58EB>4:<U+65B0><U+985E><U+578B><U+6545><U+4E8B>)",1991,"Bandai----Yutaka","Toshiba EMI","NES",NA,NA,NA,NA,NA,FALSE,TRUE,"NES"
"1047","Aworg: Hero in the Sky----1991----Mega Drive / Genesis","Kate","Aworg: Hero in the Sky","aworg: hero in the sky",1991,"1991","Mega Drive / Genesis","mega drive / genesis",5730,"Aworg: Hero in the Sky","Aworg: Hero in the Sky (<U+30A2><U+30A6><U+30A9><U+30FC><U+30B0>)",1991,"Sega","Sega","Mega Drive / Genesis",NA,NA,NA,NA,NA,FALSE,TRUE,"Mega Drive / Genesis"
"1048","Eve of Shadows----1991----Amstrad CPC","Sam","Eve of Shadows","eve of shadows",1991,"1991","Amstrad CPC","amstrad cpc",20939,"Eve of Shadows","Eve of Shadows",1991,"Adventure PD",NA,"Amstrad CPC",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"1049","Sengoku----1991----ARC","Brian","Sengoku","sengoku",1991,"1991----2011","ARC----NEO----Neo Geo----NGCD----PC----SCD----SNES----Windows----WSHP","arc----neo----neo geo----ngcd----pc----scd----snes----windows----wshp",53064,"Sengoku","Sengoku (<U+6226><U+56FD>;Sengoku: Way of the Warrior)----Sengoku (Sengoku Densho)",1991,"Paradox Interactive----SNK","Paradox Development Studio----SNK","Neo Geo----Windows",33977,"Sengoku","Sengoku",1991,"ARC----NEO----NGCD----PC----SCD----SNES----WSHP",FALSE,TRUE,"ARC"
"1050","Pyramid Magic III----1991----Mega Drive / Genesis","Kameron","Pyramid Magic III","pyramid magic 3",1991,"1991","Mega Drive / Genesis","mega drive / genesis",48464,"Pyramid Magic III","Pyramid Magic III",1991,"Sega",NA,"Mega Drive / Genesis",NA,NA,NA,NA,NA,FALSE,TRUE,"Mega Drive / Genesis"
"1051","Daruman Busters----1991----GB","Kate","Daruman Busters","daruman busters",1991,"1991","GB","gb",NA,NA,NA,NA,NA,NA,NA,9852,"Daruman Busters","Daruman Busters",1991,"GB",FALSE,TRUE,"GB"
"1052","Frommer's Travel Guide----1991----GB","Sam","Frommer's Travel Guide","frommer's travel guide",1991,"1991","GB","gb",NA,NA,NA,NA,NA,NA,NA,15339,"Frommer's Travel Guide","Frommer's Travel Guide",1991,"GB",FALSE,TRUE,"GB"
"1053","Devastating Blow----1991----ZX Spectrum","Brian","Devastating Blow","devastating blow",1991,"1991----1992","C64----SPEC----ZX Spectrum","c64----spec----zx spectrum",17014,"Devastating Blow","Devastating Blow",1991,"Beyond Belief",NA,"ZX Spectrum",10633,"Devastating Blow","Devastating Blow",1992,"C64----SPEC",FALSE,TRUE,"ZX Spectrum"
"1054","Penguin and Seal----1991----NES","Kameron","Penguin and Seal","penguin and seal",1991,"1991","NES","nes",45331,"Penguin and Seal","Penguin and Seal",1991,"Sachen","Sachen","NES",NA,NA,NA,NA,NA,FALSE,TRUE,"NES"
"1055","Metal Slader Glory----1991----NES","Kate","Metal Slader Glory","metal slader glory",1991,"1991","NES----WSHP","nes----wshp",38637,"Metal Slader Glory","Metal Slader Glory (<U+30E1><U+30BF><U+30EB><U+30B9><U+30EC><U+30A4><U+30C0><U+30FC><U+30B0><U+30ED><U+30FC><U+30EA><U+30FC>;<U+30E1><U+30BF><U+30EB><U+30B9><U+30EC><U+30A4><U+30C0><U+30FC>·<U+30B0><U+30ED><U+30FC><U+30EA><U+30FC>)",1991,"HAL Laboratory","HAL Laboratory","NES",24571,"Metal Slader Glory","Metal Slader Glory",1991,"NES----WSHP",FALSE,TRUE,"NES"
"1056","Street Cat----1991----AST","Sam","Street Cat","street cat",1991,"1991","AMI----AST----C64----CPC----PC","ami----ast----c64----cpc----pc",NA,NA,NA,NA,NA,NA,NA,37295,"Street Cat","Street Cat",1991,"AMI----AST----C64----CPC----PC",FALSE,TRUE,"AST"
"1057","Time Warp----1991----Amstrad CPC","Brian","Time Warp","time warp",1991,"1991","Amstrad CPC----Atari 2600","amstrad cpc----atari 2600",64401,"Time Warp","Time Warp",1991,"Panda----Zellers","Panda","Amstrad CPC----Atari 2600",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"1058","Heart of Saphilamun----1991----X68000","Kameron","Heart of Saphilamun","heart of saphilamun",1991,"1991","X68000","x68000",27862,"Heart of Saphilamun","Heart of Saphilamun (Horror of Cridewell 2)",1991,"Annandule Project",NA,"X68000",NA,NA,NA,NA,NA,FALSE,TRUE,"X68000"
"1059","World Stadium Baseball '91----1991----PCE / TurboGrafx","Kate","World Stadium Baseball '91","world stadium baseball '91",1991,"1991","PCE / TurboGrafx","pce / turbografx",69852,"World Stadium Baseball '91","World Stadium Baseball '91",1991,"Namco",NA,"PCE / TurboGrafx",NA,NA,NA,NA,NA,FALSE,TRUE,"PCE / TurboGrafx"
"1060","Trouble Shooter----1991----Mega Drive / Genesis","Sam","Trouble Shooter","trouble shooter",1991,"1991","GEN----Mega Drive / Genesis","gen----mega drive / genesis",65906,"Trouble Shooter","Trouble Shooter (Battle Mania;<U+30D0><U+30C8><U+30EB><U+30DE><U+30CB><U+30A2>)",1991,"Sega","Vic Tokai","Mega Drive / Genesis",42710,"Trouble Shooter","Trouble Shooter",1991,"GEN",FALSE,TRUE,"Mega Drive / Genesis"
"1061","Rockin' Kats----1991----NES","Brian","Rockin' Kats","rockin' kats",1991,"1991","ARC----NES","arc----nes",51040,"Rockin' Kats","Rockin' Kats (N.Y.<U+30CB><U+30E3><U+30F3><U+30AD><U+30FC><U+30BA>;New York Nyankies;<U+30CB><U+30E5>-<U+30E8>-<U+30AF>·<U+30CB><U+30E3><U+30F3><U+30AD><U+30FC><U+30BA>)",1991,"Atlus","Atlus","NES",32591,"Rockin' Kats","Rockin' Kats",1991,"ARC----NES",FALSE,TRUE,"NES"
"1062","Medal City----1991----Mega Drive / Genesis","Kameron","Medal City","medal city",1991,"1991","Mega Drive / Genesis","mega drive / genesis",38072,"Medal City","Medal City (<U+30E1><U+30C0><U+30EB><U+30B7><U+30C6><U+30A3>)",1991,"Sega","Sega","Mega Drive / Genesis",NA,NA,NA,NA,NA,FALSE,TRUE,"Mega Drive / Genesis"
"1063","Pegs----1991----Linux/Unix","Kate","Pegs","pegs",1991,"1991----2000----2008","BeOS----Linux/Unix----MS-DOS","beos----linux/unix----ms-dos",45301,"Pegs","Pegs",1991,"author----Cascoly Software","author","BeOS----Linux/Unix----MS-DOS",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"1064","Think Cross----1992----MS-DOS","Sam","Think Cross","think cross",1992,"1992","MS-DOS","ms-dos",64017,"Think Cross","Think Cross",1992,"Max Design",NA,"MS-DOS",NA,NA,NA,NA,NA,FALSE,TRUE,"MS-DOS"
"1065","Astatin----1992----Amiga","Brian","Astatin","astatin",1992,"1992","Amiga","amiga",5076,"Astatin","Astatin",1992,"Tale Software","Alive Designs","Amiga",NA,NA,NA,NA,NA,FALSE,TRUE,"Amiga"
"1066","ships----1992----Amstrad CPC","Kameron","ships","ships",1992,"1992----2004","Amstrad CPC----BeOS----Linux/Unix","amstrad cpc----beos----linux/unix",53862,"ships","ships----Ships",1992,"author----Future Publishing","author","Amstrad CPC----BeOS----Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"1067","Shaffurufaito----1992----NES","Kate","Shaffurufaito","shaffurufaito",1992,"1992","NES","nes",53412,"Shaffurufaito","Shaffurufaito (<U+30B7><U+30E3><U+30C3><U+30D5><U+30EB><U+30D5><U+30A1><U+30A4><U+30C8>;Shuffle Fight)",1992,"Banpresto",NA,"NES",NA,NA,NA,NA,NA,FALSE,TRUE,"NES"
"1068","Max----1992----VIC-20","Sam","Max","max",1992,"1992","Game Boy----VIC-20","game boy----vic-20",37835,"Max","Max----Max (Rubble Saver II)",1992,"A Wave----Anirog----Infogrames----King Records",NA,"Game Boy----VIC-20",NA,NA,NA,NA,NA,FALSE,TRUE,"VIC-20"
"1069","Super Ski 2----1992----MS-DOS","Brian","Super Ski 2","super ski 2",1992,"1992","Amstrad CPC----Atari ST----MS-DOS","amstrad cpc----atari st----ms-dos",59274,"Super Ski 2","Super Ski 2----Super Ski II",1992,"Microïds",NA,"Amstrad CPC----Atari ST----MS-DOS",NA,NA,NA,NA,NA,FALSE,TRUE,"MS-DOS"
"1070","On the Ball----1992----ARC","Kameron","On the Ball","on the ball",1992,"1992","AMI----ARC----FMT----PC----SNES","ami----arc----fmt----pc----snes",NA,NA,NA,NA,NA,NA,NA,27933,"On the Ball","On the Ball",1992,"AMI----ARC----FMT----PC----SNES",FALSE,TRUE,"ARC"
"1071","Traysia----1992----GEN","Kate","Traysia","traysia",1992,"1992","GEN----Mega Drive / Genesis","gen----mega drive / genesis",65565,"Traysia","Traysia (Minato no Toreijia;<U+6E2F><U+306E><U+30C8><U+30EC><U+30A4><U+30B8><U+30A2>)",1992,"Telenet","Riot","Mega Drive / Genesis",42506,"Traysia","Traysia",NA,"GEN",FALSE,TRUE,"GEN"
"1072","J.League Fighting Soccer: The King of Ace Strikers----1992----Game Boy","Sam","J.League Fighting Soccer: The King of Ace Strikers","j.league fighting soccer: the king of ace strikers",1992,"1992----1993","Game Boy----NES","game boy----nes",30775,"J.League Fighting Soccer: The King of Ace Strikers","J.League Fighting Soccer: The King of Ace Strikers----J.League Fighting Soccer: The King of Ace Strikers (J<U+30EA><U+30FC><U+30B0> <U+30D5><U+30A1><U+30A4><U+30C6><U+30A3><U+30F3><U+30B0><U+30B5><U+30C3><U+30AB><U+30FC> THE KING OF ACE STRIKERS;Jeirigu faitingusakka)",1992,"IGS----IGS Corp.",NA,"Game Boy----NES",NA,NA,NA,NA,NA,FALSE,TRUE,"Game Boy"
"1073","Expert----1992----BK11M","Brian","Expert","expert",1992,"1992----1996","BK11M----PS1","bk11m----ps1",21190,"Expert","Expert",1992,"DIM Corp----Nihon Bussan",NA,"BK11M----PS1",NA,NA,NA,NA,NA,FALSE,TRUE,"BK11M"
"1074","Mitsume ga Tooru----1992----NES","Kameron","Mitsume ga Tooru","mitsume ga tooru",1992,"1992","NES","nes",NA,NA,NA,NA,NA,NA,NA,25176,"Mitsume ga Tooru","Mitsume ga Tooru",1992,"NES",FALSE,TRUE,"NES"
