"","copy_col","reviewer","title","flat_title","first_release_year","all_release_year","platform","flat_platform","uv_index","uv_title","uv_raw_title","uv_first_release_year","uv_publisher","uv_developer","uv_platform","gb_index","gb_title","gb_raw_title","gb_first_release_year","gb_platform","is_duplicate","is_sampled","target_platform"
"795","Terra Cognita: The Hollow Moon----1987----Amstrad CPC","Kate","Terra Cognita: The Hollow Moon","terra cognita: the hollow moon",1987,"1987","Amstrad CPC","amstrad cpc",60935,"Terra Cognita: The Hollow Moon","Terra Cognita: The Hollow Moon",1987,"Codemasters",NA,"Amstrad CPC",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"796","The Colditz Story----1987----ZX Spectrum","Sam","The Colditz Story","the colditz story",1987,"1987","ZX Spectrum","zx spectrum",61672,"The Colditz Story","The Colditz Story",1987,"Atlantis Software",NA,"ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"797","Escape into Space----1987----ZX Spectrum","Brian","Escape into Space","escape into space",1987,"1987","ZX Spectrum","zx spectrum",20691,"Escape into Space","Escape into Space",1987,"Kelsoft",NA,"ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"ZX Spectrum"
"798","vs. Castlevania----1987----Arcade","Kameron","vs. Castlevania","vs. castlevania",1987,"1987","Arcade","arcade",68078,"vs. Castlevania","vs. Castlevania (<U+60AA><U+9B54><U+57CE><U+30C9><U+30E9><U+30AD><U+30E5><U+30E9>;Akumajo Dracula)",1987,"Konami",NA,"Arcade",NA,NA,NA,NA,NA,FALSE,TRUE,"Arcade"
"799","The Las Vegas EGA Casino----1987----MS-DOS","Kate","The Las Vegas EGA Casino","the las vegas ega casino",1987,"1987","MS-DOS----PC","ms-dos----pc",62521,"The Las Vegas EGA Casino","The Las Vegas EGA Casino",1987,"Ted Gruber Software",NA,"MS-DOS",40332,"The Las Vegas EGA Casino","The Las Vegas EGA Casino",NA,"PC",FALSE,TRUE,"MS-DOS"
"800","Ziggy----1987----Electron","Sam","Ziggy","ziggy",1987,"1987","BBC----Electron","bbc----electron",71150,"Ziggy","Ziggy",1987,"Audiogenic",NA,"BBC----Electron",NA,NA,NA,NA,NA,FALSE,TRUE,"Electron"
"801","Bill Palmer----1987----Atari ST","Brian","Bill Palmer","bill palmer",1987,"1987","Atari ST","atari st",7839,"Bill Palmer","Bill Palmer",1987,"Arcan----Ubi Soft",NA,"Atari ST",NA,NA,NA,NA,NA,FALSE,TRUE,"Atari ST"
"802","Jack the Nipper 2: In Coconut Capers----1987----SPEC","Kameron","Jack the Nipper 2: In Coconut Capers","jack the nipper 2: in coconut capers",1987,"1987","Amstrad CPC----C64----CPC----MSX----SPEC----ZX Spectrum","amstrad cpc----c64----cpc----msx----spec----zx spectrum",30863,"Jack the Nipper II: In Coconut Capers","Jack the Nipper II: In Coconut Capers",1987,"Gremlin Graphics",NA,"Amstrad CPC----C64----MSX----ZX Spectrum",19939,"Jack the Nipper 2: In Coconut Capers","Jack the Nipper 2: In Coconut Capers",NA,"C64----CPC----MSX----SPEC",FALSE,TRUE,"SPEC"
"803","Titanic Mystery: Ao no Senritsu----1987----Famicom Disk System","Kate","Titanic Mystery: Ao no Senritsu","titanic mystery: ao no senritsu",1987,"1987","Famicom Disk System----FDS","famicom disk system----fds",64542,"Titanic Mystery: Ao no Senritsu","Titanic Mystery: Ao no Senritsu (<U+30BF><U+30A4><U+30BF><U+30CB><U+30C3><U+30AF><U+30DF><U+30B9><U+30C6><U+30EA><U+30FC> <U+2015><U+84BC><U+306E><U+6226><U+6144><U+2015>)",1987,"Gakken","Gakken","Famicom Disk System",41690,"Titanic Mystery: Ao no Senritsu","Titanic Mystery: Ao no Senritsu",1987,"FDS",FALSE,TRUE,"Famicom Disk System"
"804","The king Salmon----1987----PC-8801","Sam","The king Salmon","the king salmon",1987,"1987","FM7----PC-8801","fm7----pc-8801",62490,"The king Salmon","The king Salmon----The King Salmon",1987,"Hot-B",NA,"FM7----PC-8801",NA,NA,NA,NA,NA,FALSE,TRUE,"PC-8801"
"805","Skaal----1987----Amstrad CPC","Brian","Skaal","skaal",1987,"1987","Amstrad CPC","amstrad cpc",54646,"Skaal","Skaal",1987,"Softhawk",NA,"Amstrad CPC",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"806","Enter the Ninja----1987----C64","Kameron","Enter the Ninja","enter the ninja",1987,"1987","C64","c64",20514,"Enter the Ninja","Enter the Ninja",1987,"Mastertronic",NA,"C64",NA,NA,NA,NA,NA,FALSE,TRUE,"C64"
"807","Special Agent----1987----C64","Kate","Special Agent","special agent",1987,"1987----1988","C64","c64",56400,"Special Agent","Special Agent",1987,"Firebird",NA,"C64",36185,"Special Agent","Special Agent",1988,"C64",FALSE,TRUE,"C64"
"808","Crack'ed----1987----2600","Sam","Crack'ed","crack'ed",1987,"1987----1988","2600----7800----AST----Atari 2600----Atari 7800----Atari ST","2600----7800----ast----atari 2600----atari 7800----atari st",14069,"Crack'ed","Crack'ed",1987,"Atari","Atari","Atari 2600----Atari 7800----Atari ST",8742,"Crack'ed","Crack'ed",NA,"2600----7800----AST",FALSE,TRUE,"2600"
"809","Rigel's Revenge----1987----C64","Brian","Rigel's Revenge","rigel's revenge",1987,"1987","Amstrad CPC----C64----CPC----SPEC----ZX Spectrum","amstrad cpc----c64----cpc----spec----zx spectrum",50533,"Rigel's Revenge","Rigel's Revenge",1987,"Mastertronic","Smart Egg Software","Amstrad CPC----C64----ZX Spectrum",32232,"Rigel's Revenge","Rigel's Revenge",NA,"C64----CPC----SPEC",FALSE,TRUE,"C64"
"810","Double Dribble----1987----ARC","Kameron","Double Dribble","double dribble",1987,"1987----1990","AMI----Amiga----ARC----Arcade----C64----FDS----GB----NES----PC----WSHP","ami----amiga----arc----arcade----c64----fds----gb----nes----pc----wshp",18305,"Double Dribble","Double Dribble----Double Dribble (Exciting Basket;Double Drible;<U+30A8><U+30AD><U+30B5><U+30A4><U+30C6><U+30A3><U+30F3><U+30B0> <U+30D0><U+30B9><U+30B1><U+30C3><U+30C8>;<U+B354><U+BE14> <U+B4DC><U+B9AC><U+BE14>)",1987,"Konami","Konami","Amiga----Arcade----C64----NES",11624,"Double Dribble","Double Dribble",1987,"AMI----ARC----C64----FDS----GB----NES----PC----WSHP",FALSE,TRUE,"ARC"
"811","Dakko-chan House----1987----Arcade","Kate","Dakko-chan House","dakko-chan house",1987,"1987","ARC----Arcade","arc----arcade",15404,"DakkoChan House","DakkoChan House",1987,"Whiteboard",NA,"Arcade",9536,"Dakko-chan House","Dakko-chan House",1987,"ARC",FALSE,TRUE,"Arcade"
"812","Knight Ghost----1987----Amstrad CPC","Sam","Knight Ghost","knight ghost",1987,"1987","Amstrad CPC----MSX----ZX Spectrum","amstrad cpc----msx----zx spectrum",33338,"Knight Ghost","Knight Ghost",1987,"Dro Soft----Juliet Software","Juliet Software","Amstrad CPC----MSX----ZX Spectrum",NA,NA,NA,NA,NA,FALSE,TRUE,"Amstrad CPC"
"813","Get Dexter----1987----AST","Brian","Get Dexter","get dexter",1987,"1987","AST----CPC","ast----cpc",NA,NA,NA,NA,NA,NA,NA,16227,"Get Dexter","Get Dexter",1987,"AST----CPC",FALSE,TRUE,"AST"
"814","Neptune's Nasties----1987----APL2","Kameron","Neptune's Nasties","neptune's nasties",1987,"1987","APL2----Apple IIe","apl2----apple iie",42113,"Neptune's Nasties","Neptune's Nasties",1987,"UpTime",NA,"Apple IIe",26973,"Neptune's Nasties","Neptune's Nasties",NA,"APL2",FALSE,TRUE,"APL2"
"815","Trust and Betrayal: The Legacy of Siboot----1987----Mac","Kate","Trust and Betrayal: The Legacy of Siboot","trust and betrayal: the legacy of siboot",1987,"1987","Mac----MAC----MS-DOS----PC","mac----ms-dos----pc",65969,"Trust and Betrayal: The Legacy of Siboot","Trust & Betrayal: The Legacy of Siboot (Trust & Betrayal: The Legacy of Siboot)----Trust and Betrayal: The Legacy of Siboot (Siboot 2)",1987,"Mindscape",NA,"Mac----MS-DOS",42743,"Trust and Betrayal: The Legacy of Siboot","Trust and Betrayal: The Legacy of Siboot",NA,"MAC----PC",FALSE,TRUE,"Mac"
